Date,DayOfWeek,WkendWkDay,All_Test_Results,Positives_N,Positives_R,Hospitalizations,Deaths,Ggle_Corona,EBoundPeak,WBoundPeak,TrafficPeakTotal,All_Test_Results_NormZ,Positives_N_NormZ,Positives_R_NormZ,Hospitalizations_NormZ,Deaths_NormZ,Ggle_Corona_NormZ,EBoundPeak_NormZ,WBoundPeak_NormZ,TrafficPeakTotal_NormZ
2/1/2020,Saturday,Weekend,0,0,0,1,0,16,4174,2343,6517,0.110838347,0.183516377,0.245839011,0.130497587,0.174857375,0.456497859,0.780825436,0.393871847,0.586927662
2/2/2020,Sunday,Weekend,0,0,0,0,0,10,3261,1767,5028,0.110838347,0.183516377,0.245839011,0.111189895,0.174857375,0.356574527,0.51846998,0.252304138,0.365838194
2/3/2020,Monday,Weekday,0,0,0,0,0,10,6893,7449,14342,0.110838347,0.183516377,0.245839011,0.111189895,0.174857375,0.356574527,0.998385394,0.99944096,0.999253239
2/4/2020,Tuesday,Weekday,0,0,0,0,0,10,7304,7192,14496,0.110838347,0.183516377,0.245839011,0.111189895,0.174857375,0.356574527,0.999468038,0.998969878,0.99938991
2/5/2020,Wednesday,Weekday,0,0,0,0,0,10,7089,6769,13858,0.110838347,0.183516377,0.245839011,0.111189895,0.174857375,0.356574527,0.999037158,0.997357389,0.99861913
2/6/2020,Thursday,Weekday,0,0,0,0,0,10,7191,7077,14268,0.110838347,0.183516377,0.245839011,0.111189895,0.174857375,0.356574527,0.999270878,0.998658687,0.999177991
2/7/2020,Friday,Weekday,0,0,0,0,0,10,6827,6668,13495,0.110838347,0.183516377,0.245839011,0.111189895,0.174857375,0.356574527,0.998088184,0.996729232,0.997854532
2/8/2020,Saturday,Weekend,0,0,0,2,0,10,3828,2572,6400,0.110838347,0.183516377,0.245839011,0.152007919,0.174857375,0.356574527,0.691053798,0.455806922,0.569635451
2/9/2020,Sunday,Weekend,0,0,0,0,0,8,3819,1966,5785,0.110838347,0.183516377,0.245839011,0.111189895,0.174857375,0.325003215,0.688518948,0.29814335,0.477311912
2/10/2020,Monday,Weekday,1,0,0,0,0,8,6973,7231,14204,0.110892305,0.183516377,0.245839011,0.111189895,0.174857375,0.325003215,0.998688939,0.999059345,0.999107349
2/11/2020,Tuesday,Weekday,0,0,0,3,0,8,7192,7894,15086,0.110838347,0.183516377,0.245839011,0.175751666,0.174857375,0.325003215,0.999272885,0.999819101,0.999726911
2/12/2020,Wednesday,Weekday,0,0,0,1,0,8,6782,6469,13251,0.110838347,0.183516377,0.245839011,0.130497587,0.174857375,0.325003215,0.997857911,0.995085902,0.997143011
2/13/2020,Thursday,Weekday,15,0,0,0,0,8,7009,7058,14067,0.1116497,0.183516377,0.245839011,0.111189895,0.174857375,0.325003215,0.998807697,0.998599687,0.998937008
2/14/2020,Friday,Weekday,0,0,0,0,0,8,6621,6659,13280,0.110838347,0.183516377,0.245839011,0.111189895,0.174857375,0.325003215,0.996813512,0.996667208,0.997237494
2/15/2020,Saturday,Weekend,0,0,0,2,0,8,4166,2268,6434,0.110838347,0.183516377,0.245839011,0.152007919,0.174857375,0.325003215,0.77893434,0.374079979,0.574675868
2/16/2020,Sunday,Weekend,0,0,0,0,0,7,3807,1778,5585,0.110838347,0.183516377,0.245839011,0.111189895,0.174857375,0.309659819,0.685125216,0.254737442,0.447309663
2/17/2020,Monday,Weekday,0,0,0,1,0,7,5345,4921,10266,0.110838347,0.183516377,0.245839011,0.130497587,0.174857375,0.309659819,0.956326844,0.934752293,0.949082674
2/18/2020,Tuesday,Weekday,0,0,0,1,0,7,6943,7481,14424,0.110838347,0.183516377,0.245839011,0.130497587,0.174857375,0.309659819,0.998581818,0.999482996,0.999329176
2/19/2020,Wednesday,Weekday,0,0,0,3,0,7,6482,7048,13530,0.110838347,0.183516377,0.245839011,0.175751666,0.174857375,0.309659819,0.995564823,0.998567691,0.997942215
2/20/2020,Thursday,Weekday,0,0,0,3,0,7,7051,7334,14385,0.110838347,0.183516377,0.245839011,0.175751666,0.174857375,0.309659819,0.998933758,0.999262428,0.999293995
2/21/2020,Friday,Weekday,0,0,0,4,0,7,6776,6903,13679,0.110838347,0.183516377,0.245839011,0.201719564,0.174857375,0.309659819,0.997825377,0.998022377,0.998280248
2/22/2020,Saturday,Weekend,0,0,0,4,0,7,3680,2317,5997,0.110838347,0.183516377,0.245839011,0.201719564,0.174857375,0.309659819,0.648294489,0.386976665,0.50925162
2/23/2020,Sunday,Weekend,0,0,0,2,0,26,3724,1614,5338,0.110838347,0.183516377,0.245839011,0.152007919,0.174857375,0.626029309,0.661235225,0.219767332,0.410686966
2/24/2020,Monday,Weekday,0,0,0,5,0,26,6797,7009,13806,0.110838347,0.183516377,0.245839011,0.229858637,0.174857375,0.626029309,0.997937323,0.998436427,0.998527581
2/25/2020,Tuesday,Weekday,0,0,0,1,0,26,7024,7359,14383,0.110838347,0.183516377,0.245839011,0.130497587,0.174857375,0.626029309,0.998854207,0.999305204,0.999292146
2/26/2020,Wednesday,Weekday,0,0,0,1,2,26,7206,6949,14155,0.110838347,0.183516377,0.245839011,0.130497587,0.350096937,0.626029309,0.999300456,0.998212963,0.999049539
2/27/2020,Thursday,Weekday,0,0,0,10,0,26,7078,6983,14061,0.110838347,0.183516377,0.245839011,0.398048924,0.174857375,0.626029309,0.999008215,0.998342921,0.998928907
2/28/2020,Friday,Weekday,5,4,0.8,8,2,26,7010,7195,14205,0.111108327,0.188534435,1,0.326079364,0.350096937,0.626029309,0.998810851,0.998977028,0.999108495
2/29/2020,Saturday,Weekend,3,2,0.666666667,4,1,26,4154,2657,6811,0.111000279,0.186014916,1,0.201719564,0.25459459,0.626029309,0.776080263,0.479157445,0.629572838
3/1/2020,Sunday,Weekend,12,8,0.666666667,4,3,71,3684,2127,5811,0.11148709,0.193636227,1,0.201719564,0.456198029,0.988062215,0.649478322,0.337791792,0.481225341
3/2/2020,Monday,Weekday,17,8,0.470588235,14,2,71,6713,6856,13569,0.111758201,0.193636227,0.999999952,0.550264298,0.350096937,0.988062215,0.997455717,0.997808756,0.998036078
3/3/2020,Tuesday,Weekday,24,11,0.458333333,11,3,71,6823,6905,13728,0.112138547,0.197517269,0.999999888,0.435567062,0.456198029,0.988062215,0.998068666,0.998031033,0.998379841
3/4/2020,Wednesday,Weekday,159,14,0.088050314,11,2,71,6512,6310,12822,0.11965544,0.201444972,0.66976338,0.435567062,0.350096937,0.988062215,0.995866352,0.993281035,0.995361611
3/5/2020,Thursday,Weekday,104,8,0.076923077,21,4,71,5239,5160,10399,0.116551182,0.193636227,0.616709163,0.788030423,0.565537921,0.988062215,0.9479151,0.953258052,0.9541282
3/6/2020,Friday,Weekday,155,13,0.083870968,15,6,71,4604,4115,8719,0.119427729,0.200130566,0.650166852,0.588042148,0.762729197,0.988062215,0.868252635,0.830263426,0.853500625
3/7/2020,Saturday,Weekend,181,20,0.110497238,11,0,71,2935,1956,4891,0.120913327,0.209439443,0.766247436,0.435567062,0.174857375,0.988062215,0.415324853,0.295751962,0.346548718
3/8/2020,Sunday,Weekend,324,63,0.194444444,14,5,79,3133,1566,4699,0.129316489,0.271938414,0.964143313,0.550264298,0.670055769,0.995387727,0.477733225,0.210079004,0.320180957
3/9/2020,Monday,Weekday,240,43,0.179166667,14,3,79,4426,4466,8892,0.124332601,0.241764307,0.94579737,0.550264298,0.456198029,0.995387727,0.835494151,0.884492249,0.867986897
3/10/2020,Tuesday,Weekday,372,35,0.094086022,21,2,79,4372,4312,8684,0.132225789,0.230223928,0.697249898,0.788030423,0.350096937,0.995387727,0.824592289,0.86243689,0.850444778
3/11/2020,Wednesday,Weekday,628,61,0.097133758,17,2,79,4190,3996,8186,0.148501623,0.268838797,0.710728203,0.660883778,0.350096937,0.995387727,0.784579594,0.808662465,0.802392537
3/12/2020,Thursday,Weekday,585,52,0.088888889,26,4,79,3936,4027,7963,0.145678032,0.255113706,0.673641998,0.899818478,0.565537921,0.995387727,0.720737887,0.81444576,0.778146558
3/13/2020,Friday,Weekday,760,56,0.073684211,13,3,79,3643,3534,7177,0.157396662,0.261168186,0.600791711,0.512024981,0.456198029,0.995387727,0.637277136,0.710120549,0.680464204
3/14/2020,Saturday,Weekend,871,87,0.099885189,16,4,79,2499,1509,4008,0.165142233,0.310459669,0.722648398,0.625020688,0.565537921,0.995387727,0.287111756,0.198906369,0.233229328
3/15/2020,Sunday,Weekend,791,64,0.08091024,13,4,100,2349,1227,3576,0.159535411,0.273494861,0.636034256,0.512024981,0.565537921,0.99977418,0.247759234,0.149078103,0.186340413
3/16/2020,Monday,Weekday,747,65,0.087014726,23,6,100,3097,3309,6406,0.156505402,0.275055705,0.664948267,0.839394097,0.762729197,0.99977418,0.466299507,0.654781603,0.570525786
3/17/2020,Tuesday,Weekday,1088,84,0.077205882,19,7,100,2670,3003,5673,0.180984426,0.305516501,0.618090132,0.728154548,0.83894987,0.99977418,0.335284853,0.574097934,0.460483794
3/18/2020,Wednesday,Weekday,1232,95,0.07711039,14,4,100,2709,2744,5453,0.192005598,0.323807927,0.617623998,0.550264298,0.565537921,0.99977418,0.346701874,0.503131066,0.427661438
3/19/2020,Thursday,Weekday,894,87,0.097315436,27,5,100,2713,2672,5385,0.16677752,0.310459669,0.711522672,0.915697541,0.670055769,0.99977418,0.34788098,0.48328787,0.417606063
3/20/2020,Friday,Weekday,1374,134,0.097525473,23,7,100,2001,2401,4402,0.20326671,0.391886522,0.712439868,0.839394097,0.83894987,0.99977418,0.168704163,0.409370798,0.281159772
3/21/2020,Saturday,Weekend,1321,134,0.101438304,24,4,100,1883,1155,3038,0.199018267,0.391886522,0.72926931,0.861736243,0.565537921,0.99977418,0.146061663,0.137824126,0.136819709
3/22/2020,Sunday,Weekend,1054,90,0.085388994,21,14,76,1619,860,2479,0.178441217,0.315437307,0.657334478,0.788030423,0.998224091,0.993327617,0.103083644,0.097834137,0.09579152
3/23/2020,Monday,Weekday,963,126,0.130841121,43,9,76,2206,2335,4541,0.171745828,0.37756719,0.83815743,0.99822508,0.938248469,0.993327617,0.213106974,0.391746595,0.299136604
3/24/2020,Tuesday,Weekday,1211,145,0.119735756,27,9,76,1993,2218,4211,0.190373241,0.411813368,0.800883858,0.915697541,0.938248469,0.993327617,0.167101297,0.361063911,0.257342666
3/25/2020,Wednesday,Weekday,1499,194,0.129419613,34,9,76,1904,2109,4013,0.213498585,0.502643907,0.833657617,0.979816669,0.938248469,0.993327617,0.149934388,0.333257732,0.233807793
3/26/2020,Thursday,Weekday,1817,202,0.111172262,28,15,76,1667,1770,3437,0.240841273,0.517587008,0.76888615,0.92960867,0.999289834,0.993327617,0.110124597,0.252966549,0.172590622
3/27/2020,Friday,Weekday,1816,210,0.115638767,35,9,76,1680,1680,3360,0.240752405,0.532505441,0.785921001,0.984069873,0.938248469,0.993327617,0.112089554,0.23349863,0.165259763
3/28/2020,Saturday,Weekend,1502,210,0.139813582,40,14,76,1289,804,2093,0.213747782,0.532505441,0.864714021,0.995693839,0.998224091,0.993327617,0.06331221,0.091317168,0.073286757
3/29/2020,Sunday,Weekend,1450,177,0.122068966,38,8,64,1446,706,2152,0.209452388,0.470903608,0.809116136,0.992548068,0.897098942,0.974867073,0.080420748,0.080695972,0.076437297
3/30/2020,Monday,Weekday,1183,180,0.152155537,38,4,64,1608,1642,3250,0.18821007,0.476497169,0.89611183,0.992548068,0.565537921,0.974867073,0.101517187,0.225535322,0.155142061
3/31/2020,Tuesday,Weekday,1275,169,0.13254902,37,5,64,1690,1620,3310,0.195374666,0.456018455,0.843457921,0.990319967,0.670055769,0.974867073,0.113618024,0.220996152,0.160609008
4/1/2020,Wednesday,Weekday,1715,232,0.135276968,38,12,64,1731,1660,3391,0.231869252,0.573234405,0.851684424,0.992548068,0.990993748,0.974867073,0.120039964,0.229288112,0.168186565
4/2/2020,Thursday,Weekday,1585,188,0.118611987,41,11,64,1703,1728,3431,0.220709145,0.491432998,0.796843691,0.996767882,0.981705425,0.974867073,0.115627169,0.243776681,0.172012046
4/3/2020,Friday,Weekday,1670,192,0.11497006,47,13,64,1850,1658,3508,0.227970983,0.498906732,0.783418116,0.999517176,0.995859625,0.974867073,0.140112839,0.228869414,0.179531115
4/4/2020,Saturday,Weekend,1208,179,0.148178808,26,12,64,1456,827,2283,0.190140745,0.474632079,0.886631649,0.899818478,0.990993748,0.974867073,0.081618652,0.09395373,0.083799588
4/5/2020,Sunday,Weekend,955,149,0.156020942,32,16,59,1341,639,1980,0.171164995,0.419119211,0.904762371,0.968387957,0.999735405,0.959279608,0.068633204,0.073990161,0.067531252
4/6/2020,Monday,Weekday,1222,124,0.101472995,24,13,59,1707,1759,3466,0.19122722,0.374012645,0.72941629,0.861736243,0.995859625,0.959279608,0.116250415,0.250542189,0.17540454
4/7/2020,Tuesday,Weekday,1088,113,0.103860294,30,15,59,1673,1727,3400,0.180984426,0.354660953,0.739434236,0.952068309,0.999289834,0.959279608,0.111028408,0.243560093,0.16904249
4/8/2020,Wednesday,Weekday,1691,170,0.100532229,22,10,59,1817,1759,3576,0.229785571,0.457876159,0.725416323,0.814817087,0.965259328,0.959279608,0.134330803,0.250542189,0.186340413
4/9/2020,Thursday,Weekday,1984,168,0.084677419,30,7,59,1763,1778,3541,0.255929641,0.454161711,0.653981514,0.952068309,0.83894987,0.959279608,0.125226935,0.254737442,0.18281587
4/10/2020,Friday,Weekday,1542,152,0.098573281,31,12,59,1877,1736,3613,0.217086567,0.4246171,0.716994754,0.960917168,0.990993748,0.959279608,0.144967625,0.245513123,0.190111797
4/11/2020,Saturday,Weekend,1474,110,0.074626866,24,11,59,1481,887,2368,0.211428534,0.349445258,0.605443016,0.861736243,0.981705425,0.959279608,0.084672214,0.101095384,0.08885392
4/12/2020,Sunday,Weekend,814,104,0.127764128,17,5,45,1395,692,2087,0.16113446,0.339099551,0.82831631,0.660883778,0.670055769,0.87275784,0.074517225,0.079258119,0.072972011
4/13/2020,Monday,Weekday,852,91,0.106807512,16,8,45,1656,1870,3526,0.163799199,0.317104051,0.751533008,0.625020688,0.897098942,0.87275784,0.108481341,0.275559638,0.181318175
4/14/2020,Tuesday,Weekday,1367,97,0.070958303,18,5,45,1749,1947,3696,0.202702513,0.327181603,0.587262873,0.695345031,0.670055769,0.87275784,0.122938692,0.293607278,0.198740969
4/15/2020,Wednesday,Weekday,1732,126,0.072748268,23,5,45,1792,1875,3667,0.233351538,0.37756719,0.596159325,0.839394097,0.670055769,0.87275784,0.130061043,0.276714812,0.195699466
4/16/2020,Thursday,Weekday,1403,166,0.11831789,25,12,45,1869,1880,3749,0.205614065,0.450451268,0.795778329,0.881859864,0.990993748,0.87275784,0.143517508,0.277872354,0.204372693
4/17/2020,Friday,Weekday,1674,119,0.071087216,23,7,45,1924,1891,3815,0.228315996,0.365173619,0.587905154,0.839394097,0.83894987,0.87275784,0.153685803,0.280427235,0.211517009
4/18/2020,Saturday,Weekend,1605,114,0.071028037,20,11,45,1435,892,2327,0.222405793,0.356405649,0.587610338,0.759104075,0.981705425,0.87275784,0.079118448,0.101707915,0.086388309
4/19/2020,Sunday,Weekend,1066,83,0.077861163,20,12,35,1590,757,2347,0.179336238,0.303876565,0.621284143,0.759104075,0.990993748,0.760809564,0.098991411,0.086100672,0.087584579
4/20/2020,Monday,Weekday,865,86,0.099421965,17,6,35,1869,1853,3722,0.164717349,0.30880808,0.720658461,0.660883778,0.762729197,0.760809564,0.143517508,0.271649876,0.20149192
4/21/2020,Tuesday,Weekday,1436,94,0.06545961,22,14,35,1798,1876,3674,0.208304672,0.32212648,0.559671041,0.814817087,0.998224091,0.760809564,0.131077117,0.276946131,0.196431023
4/22/2020,Wednesday,Weekday,1820,113,0.062087912,20,5,35,1834,1934,3768,0.241107985,0.354660953,0.542598741,0.759104075,0.670055769,0.760809564,0.137288641,0.290522178,0.206414522
4/23/2020,Thursday,Weekday,1614,93,0.057620818,13,5,35,1910,2007,3917,0.223171705,0.320448666,0.519863628,0.512024981,0.670055769,0.760809564,0.151053345,0.308038829,0.222841155
4/24/2020,Friday,Weekday,1569,91,0.057998725,13,8,35,2044,1977,4021,0.219357181,0.317104051,0.521790523,0.512024981,0.897098942,0.760809564,0.177488128,0.300784003,0.234734987
4/25/2020,Saturday,Weekend,1579,94,0.059531349,17,10,35,1821,1001,2822,0.220201601,0.32212648,0.529599459,0.660883778,0.965259328,0.760809564,0.135022797,0.115738851,0.119732568
4/26/2020,Sunday,Weekend,1074,93,0.086592179,15,9,22,1513,838,2351,0.179934484,0.320448666,0.662975706,0.588042148,0.938248469,0.559266077,0.088704789,0.095234374,0.087825309
4/27/2020,Monday,Weekday,1437,55,0.038274182,6,6,22,1863,1896,3759,0.208386528,0.259647673,0.42160294,0.260069849,0.762729197,0.559266077,0.142436368,0.281592293,0.205445837
4/28/2020,Tuesday,Weekday,1949,103,0.052847614,16,5,22,1916,2119,4035,0.252727077,0.337386745,0.495500824,0.625020688,0.670055769,0.559266077,0.152177845,0.335773699,0.236362459
4/29/2020,Wednesday,Weekday,1723,99,0.057457922,13,6,22,2040,2076,4116,0.232566144,0.330569458,0.519032901,0.512024981,0.762729197,0.559266077,0.176659042,0.325008647,0.245899397
4/30/2020,Thursday,Weekday,1849,86,0.046511628,6,4,22,2062,2150,4212,0.24369446,0.30880808,0.463202664,0.260069849,0.565537921,0.559266077,0.18124934,0.343619668,0.257464576
5/1/2020,Friday,Weekday,1908,96,0.050314465,9,7,22,2410,2150,4560,0.249002514,0.325492978,0.482572477,0.361451052,0.83894987,0.559266077,0.263408094,0.343619668,0.301633856
5/2/2020,Saturday,Weekend,1381,83,0.060101376,16,4,22,1582,1070,2652,0.203831844,0.303876565,0.532501086,0.625020688,0.565537921,0.559266077,0.097883719,0.125302288,0.107385859
5/3/2020,Sunday,Weekend,1325,89,0.067169811,6,4,19,1761,897,2658,0.199337025,0.31377431,0.568290301,0.260069849,0.565537921,0.507948004,0.124898235,0.102323143,0.107805379
5/4/2020,Monday,Weekday,1358,60,0.044182622,12,7,19,2040,2158,4198,0.201978492,0.26729567,0.451379835,0.47367471,0.83894987,0.507948004,0.176659042,0.345655587,0.255760565
5/5/2020,Tuesday,Weekday,1621,77,0.047501542,10,4,19,2297,2217,4514,0.223768451,0.294120561,0.468238283,0.398048924,0.565537921,0.507948004,0.234821668,0.360805166,0.295604116
5/6/2020,Wednesday,Weekday,2389,116,0.048555881,10,5,19,2197,2347,4544,0.294468123,0.359904039,0.4736072,0.398048924,0.670055769,0.507948004,0.211024936,0.394935663,0.299530283
5/7/2020,Thursday,Weekday,1531,69,0.045068583,7,5,19,2279,2236,4515,0.21616541,0.281342608,0.455872771,0.292207339,0.670055769,0.507948004,0.230431852,0.365732094,0.295734607
5/8/2020,Friday,Weekday,2123,83,0.039095619,10,6,19,2563,2278,4841,0.268854352,0.303876565,0.425720007,0.398048924,0.762729197,0.507948004,0.304758333,0.376701063,0.339603627
5/9/2020,Saturday,Weekend,1607,79,0.049159925,8,4,19,2033,1378,3411,0.222575866,0.297356464,0.476685345,0.326079364,0.565537921,0.507948004,0.175214044,0.174622494,0.170092413
5/10/2020,Sunday,Weekend,875,56,0.064,12,10,18,2126,1079,3205,0.165425883,0.261168186,0.552292143,0.47367471,0.965259328,0.490770273,0.195022577,0.126589232,0.151123427
5/11/2020,Monday,Weekday,1473,58,0.039375424,10,2,18,2369,2378,4747,0.211345977,0.264222882,0.427124272,0.398048924,0.350096937,0.490770273,0.252834709,0.403206238,0.326694761
5/12/2020,Tuesday,Weekday,1318,42,0.031866464,9,3,18,2232,2476,4708,0.1987794,0.240304802,0.38981435,0.361451052,0.456198029,0.490770273,0.219188642,0.429621073,0.32139816
5/13/2020,Wednesday,Weekday,1784,73,0.040919283,7,1,18,2427,2422,4849,0.237918063,0.287698062,0.434888623,0.292207339,0.25459459,0.490770273,0.267857458,0.41501899,0.340711264
5/14/2020,Thursday,Weekday,1913,80,0.041819132,9,3,18,2404,2339,4743,0.24945516,0.298980491,0.439425945,0.361451052,0.456198029,0.490770273,0.261846788,0.392808822,0.326149886
5/15/2020,Friday,Weekday,1775,102,0.057464789,5,1,18,2838,2225,5063,0.237124213,0.335677302,0.51906792,0.229858637,0.25459459,0.490770273,0.385416842,0.362876902,0.370823381
5/16/2020,Saturday,Weekend,1373,51,0.037144938,5,4,18,1848,1268,3116,0.203186053,0.253611639,0.415957183,0.229858637,0.565537921,0.490770273,0.139757671,0.155753595,0.143381106
5/17/2020,Sunday,Weekend,1422,36,0.025316456,3,4,16,1887,971,2858,0.207160674,0.231649411,0.358066228,0.175751666,0.565537921,0.456497859,0.146794096,0.111746766,0.122470769
5/18/2020,Monday,Weekday,1588,44,0.027707809,9,1,16,2356,2342,4698,0.220963169,0.243228609,0.369556939,0.361451052,0.25459459,0.456497859,0.249529439,0.393606016,0.320045832
5/19/2020,Tuesday,Weekday,1503,46,0.030605456,9,4,16,2552,2555,5107,0.213830886,0.24617154,0.383637259,0.361451052,0.565537921,0.456497859,0.301691185,0.451152486,0.377121277
5/20/2020,Wednesday,Weekday,1407,26,0.018479033,10,3,16,2674,2533,5207,0.205939096,0.217617598,0.325944147,0.398048924,0.456198029,0.456497859,0.336449072,0.445139145,0.39155437
5/21/2020,Thursday,Weekday,1821,79,0.043382757,5,3,16,2574,2574,5148,0.241196925,0.297356464,0.447328842,0.229858637,0.456198029,0.456497859,0.307839265,0.456354914,0.383019377
